Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Fish,Actinopterygii,Actinopterygii,Istiophoriformes,Spathochoira calvertense,species,Cenozoic,Neogene,Miocene,,Neogene,Miocene,,De Gracia et al. 2022,1.40,TL,De Gracia et al. 2022,North America,,,, ,,,,,er,
Fish,Actinopterygii,Actinopterygii,Aulopiformes,Stratodus,genus,Mesozoic,Cretaceous,Upper Cretaceous,,Paleogene,Eocene,,"O'leary et al. 2006, Zangerl 1948",3.00,TL,Lewy et al. (2011),"Africa, Asia,  North America",,,Coastal,Habitat extrapolated from knowledge for the family which the taxon belongs to,Michaut 2012,,,Nearly complete specimen in South Dakota School of Mines and Technology (maybe we could contact them),IM,
Fish,Actinopterygii,Actinopterygii,Amiiformes,Strobilodus giganteus,species,Mesozoic,Jurassic,Upper Jurassic,,Jurassic,Upper Jurassic,,Albert et al. 2009,1.77,TL,"Frickhinger 1995, Albert et al. 2009",,,,, ,,,,,IM ,
Fish,Sarcopterygii,Sarcopterygii,Dipnomorpha,Sunwapta grandiceps,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,"Thomson, 1967",2.00,TL,Sallan 2015,North America,,,, ,,,,only one specimen found,er,
Fish,Placodermi,Placodermi,Arthrodira,Taemasosteus novaustrocambricus ,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Sallan 2015,1.40,TL,Sallan 2015,Oceania,,,, ,,,,,mr,
Fish,Agnatha,Agnatha,Pteraspidiformes,Tartuosteus,genus,Paleozoic,Devonian,Middle Devonian,,Devonian,Upper Devonian,,Blieck et al. 2002; Mark-Kurik 2000,2.00,TL,Sallan 2015,"Asia, Europe",,,, ,,,,not surie if extinct,mr,
Fish,Actinopterygii,Actinopterygii,Palaeonisciformes,Tegeolepis clarki,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Dunkle and Schaeffer 1973,1.00,SL,Dunkle and Schaeffer 1973,North America,Macropredator,Pelagic,, ,Dunkle and Schaeffer 1973,,,"https://bioone.org/journals/journal-of-paleontology/volume-80/issue-6/0022-3360_2006_80_1186_ANAFTF_2.0.CO_2/A-NEW-ACTINOPTERYGIAN-FROM-THE-FAMENNIAN-OF-EAST-GREENLAND-AND/10.1666/0022-3360(2006)80[1186:ANAFTF]2.0.CO;2.full?tab=ArticleLink (Only source till now, keep searching monday)","IM, AG",
Fish,Placodermi,Placodermi,Arthrodira,Titanichthys,genus,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,"Boyle and Ryan 2017, Carr 1995",7.00,TL,"Long, J.A. 1995",North America,Micropredator,Pelagic,Oceanic,Filter feeder ,Long. 1995; Boyle and Ryan 2017; Stack & Sallan 2018,,,"While no justification is provided, this paper extensively describes cranial material and mentions that mostly cranial material is preserved, so the estimate is likely extrapolated from skull reconstructions",AG,
Fish,Placodermi,Placodermi,Arthrodira,Tityosteus rieversi,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Südkamp 2007,2.00,TL,Sallan 2015,Europe,Micropredator,Pelagic,Coastal, ,"Mark-Kurik & Carls, 2004",,,,mr,
Fish,Actinopterygii,Actinopterygii,Amiiformes,Tomognathus,genus,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Forey & Patterson 2006,1.00,TL,Guinot & Cavin 2017,Europe,Macropredator,Benthic,,Predator Mesopredator,R. L. Carroll 1988,,,nektobenthic,AG,
Fish,Placodermi,Placodermi,Arthrodira,Tropidosteus curvatus ,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,2.10,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Sarcopterygii,Sarcopterygii,Dipnomorpha,Uranolophus wyomingensis,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Kjellesvig-Waering 1986,1.00,TL,"Albert et al. 2009, Denison 1968",North America,Macropredator,Benthic,,"Campbell & Barwick, 1986",,,,,AG,
Fish,Sarcopterygii,Sarcopterygii,Actinistia,Whiteia,genus,Mesozoic,Triassic,Lower Triassic,,Triassic,Upper Triassic,,Lehman 1952; Yabumoto & Brito 2016,1.00,SL,Romano 2014,"Africa, North America, Oceania",Macropredator,Pelagic,Coastal,Ecological traits here are assumed from what is known at the family level,Yabumoto & Brito 2016,,,,mr,
Fish,Actinopterygii,Actinopterygii,Ichthyodectiformes,Xiphactinus audax,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,"Bardack 1965, Vavrek et al. 2016",4.78,TL,"Bardack 1965, Frickhinger 1995",North America,Macropredator,Pelagic,Coastal,Vertical position and habitat inferred from the description of the ecology of the family Chirocentridae (which the taxon resides in) in the ecology reference,Bardack 1965,,,,AG,
Fish,Actinopterygii,Actinopterygii,Istiophoriformes,Xiphiorhynchus eocaenicus,species,Cenozoic,Paleogene,Eocene,,Paleogene,Eocene,,Fierstine & Starnes 2005,4.00,TL,Fierstine & Starnes 2005,"North America, Europe",Macropredator,Pelagic,Coastal,Predator Mesopredator,Fierstine & Starnes 2005,,,"Probably hunted like swordfish, injuring prey with rosturm and then returning to feed later","mr, AG",
Fish,Actinopterygii,Actinopterygii,Istiophoriformes        ,Xiphiorhynchus rotundus,species,Cenozoic,Paleogene,Oligocene,,Paleogene,Oligocene,,Sanders and Barnes 2002,6.00,TL,Harry L. Fierstine 2006,North America,Macropredator,Pelagic,Coastal,Omnivore ,"Sanders and Barnes 2002, R. L. Caroll 1988",,,,mr,
Fish,Placodermi,Placodermi,Antiarcha,Yangaspis jinningensis,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,1.60,TL,Sallan 2015,,,,, ,,,,,mr,
